total_packets,total_bytes,unique_src_ips,max_per_src,avg_pkt_size,tcp_ratio,udp_ratio,icmp_ratio,syn_ratio,src_entropy,label
3000,2808552,523,20,882.523682,0.918238,0.020241,0.016718,0.152827,0.970114,1
227,191686,9,68,1005.214504,0.811301,0.165094,0.021652,0.016150,0.648196,0
53,17426,9,7,387.028007,0.835667,0.122868,0.007363,0.105753,0.443440,0
8458,13968396,331,60,1359.816093,0.963691,0.031524,0.004579,0.113709,0.947351,1
242,166658,4,178,625.053028,0.853248,0.146752,0.000000,0.079883,0.462261,0
8342,8175671,4,4393,943.339894,0.943906,0.019004,0.011167,0.136036,0.489760,1
14770,1055813,463,97,60.000000,0.979390,0.020610,0.000000,0.617076,0.741350,1
2936,4619525,201,55,1298.424238,0.957999,0.042001,0.000000,0.034417,0.728111,1
640,206136,6,338,370.131532,0.956320,0.043680,0.000000,0.019541,0.484628,0
18617,2535560,5,15687,119.769101,0.932294,0.010801,0.000369,0.856719,0.250393,1
60,35453,15,5,628.717956,0.762249,0.105381,0.011789,0.119398,0.327456,0
14442,2516717,619,60,135.556658,0.974846,0.025154,0.000000,0.766805,0.863834,1
17559,8095698,96,292,391.217460,0.053809,0.760716,0.007062,0.033212,0.727991,1
166,87460,10,51,511.746138,0.840850,0.015602,0.034161,0.029009,0.257358,0
265,118670,8,63,526.232505,0.956766,0.043234,0.000000,0.108882,0.255038,0
7821,7217820,124,217,895.521849,0.902232,0.037051,0.004407,0.084331,0.914787,1
139,106260,12,34,680.528456,0.792106,0.139145,0.016782,0.019823,0.323642,0
7436,3499688,1148,24,473.897427,0.929269,0.047989,0.013290,0.093733,0.906056,1
14704,978418,241,214,60.000000,0.886093,0.000547,0.022309,0.553059,0.814477,1
6175,2301990,5,4305,310.493323,0.194151,0.700403,0.004817,0.006121,0.396100,1
7458,947958,90,271,99.033759,0.947084,0.015239,0.017006,0.897311,0.879435,1
5433,1315368,706,28,248.346447,0.094221,0.855857,0.048260,0.069708,0.729773,1
20876,1402986,211,385,60.000000,0.895283,0.024072,0.016369,0.711277,0.700055,1
17288,18804209,676,48,1064.850476,0.954517,0.006054,0.008320,0.198878,0.931826,1
5970,2468634,765,20,423.753376,0.050151,0.787174,0.016357,0.044964,0.759858,1
574,350324,8,231,510.643284,0.863212,0.068720,0.024522,0.019928,0.266312,0
197,159675,5,87,699.056644,0.770192,0.139567,0.042276,0.045155,0.323713,0
218,187489,6,59,871.185471,0.775909,0.040874,0.022946,0.038299,0.243100,0
16712,16724413,328,145,991.755812,0.925791,0.031937,0.015456,0.140802,0.853822,1
4199,560393,1565,20,109.568320,0.872824,0.021788,0.015101,0.907577,0.924722,1
4874,485492,576,26,84.830760,0.912330,0.030804,0.012174,0.807251,0.717215,1
28062,10855778,327,196,385.246042,0.031522,0.728509,0.015831,0.010118,0.796277,1
211,128129,16,34,658.933738,0.856703,0.122421,0.010299,0.094987,0.235711,0
8743,4722826,516,41,561.092339,0.175383,0.824617,0.000000,0.002609,0.781085,1
8960,504968,1,3791,60.000000,0.972343,0.027657,0.000000,0.880877,0.214621,1
212,87881,7,58,422.074025,0.793390,0.142525,0.028590,0.035692,0.537772,0
10252,11291048,8,8680,1035.002859,0.921634,0.044786,0.015311,0.171942,0.453571,1
111,84313,4,66,696.295450,0.775573,0.064739,0.015058,0.015252,0.359913,0
170,127419,3,170,717.477482,0.900415,0.011486,0.040855,0.042932,0.481694,0
77,56851,10,20,777.780951,0.903354,0.096646,0.000000,0.063664,0.153306,0
16176,5990502,573,96,381.344049,0.982907,0.007960,0.006488,0.195532,0.857438,1
252,101935,5,138,450.962007,0.872140,0.127860,0.000000,0.055463,0.508679,0
320,235787,22,23,820.925837,0.786831,0.116371,0.047923,0.035504,0.328524,0
198,168918,7,81,761.404540,0.768153,0.124466,0.041117,0.070002,0.310606,0
3771,6386166,189,74,1311.568932,0.977188,0.022812,0.000000,0.090736,0.956449,1
90,37299,8,31,487.729793,0.910939,0.089061,0.000000,0.064317,0.190221,0
256,169509,10,40,562.581274,0.954643,0.039850,0.000558,0.032611,0.244992,0
6406,6473493,6,4116,954.454167,0.985958,0.014042,0.000000,0.179429,0.400099,1
9977,10923417,6,8514,1119.939640,0.935644,0.034135,0.019202,0.169768,0.391643,1
223,115320,16,42,458.620673,0.804342,0.037824,0.009864,0.076264,0.518108,0
260,80515,8,88,369.499645,0.807173,0.075692,0.033815,0.052336,0.569517,0
315,252482,4,229,691.642572,0.859175,0.059246,0.012362,0.080143,0.532907,0
8242,2569449,701,35,313.998540,0.100643,0.656866,0.009610,0.027508,0.935891,1
287,163985,5,107,631.900805,0.945779,0.054221,0.000000,0.074193,0.622150,0
5900,2187962,468,29,357.330371,0.135803,0.687135,0.018263,0.015239,0.930044,1
128,129161,7,49,852.065384,0.790067,0.194061,0.011008,0.112173,0.543496,0
27052,2999025,6,22515,106.801657,0.986174,0.013826,0.000000,0.901412,0.202639,1
543,385063,12,90,699.175383,0.844505,0.082778,0.024279,0.076986,0.164733,0
123,68606,11,26,487.120233,0.896995,0.103005,0.000000,0.074571,0.321962,0
285,134785,19,20,584.790668,0.957574,0.042426,0.000000,0.109559,0.546678,0
365,168485,5,205,477.765042,0.768958,0.111947,0.030802,0.040521,0.304953,0
6059,8915012,81,142,1267.327139,0.965070,0.023422,0.004797,0.189415,0.758018,1
18561,1882746,971,55,88.966462,0.855685,0.032812,0.003472,0.671953,0.781365,1
8325,10719670,114,151,1092.446472,0.934311,0.035343,0.014828,0.157077,0.940535,1
14353,1901019,133,322,105.350850,0.949862,0.029802,0.002008,0.611258,0.766218,1
13666,4624550,603,66,358.566636,0.057657,0.812188,0.035786,0.038996,0.833255,1
89,42876,1,89,419.173951,0.884030,0.036871,0.017491,0.116447,0.499240,0
8614,2519764,6,3569,308.467977,0.104971,0.895029,0.000000,0.015674,0.335173,1
5068,4070424,3,3254,764.240640,0.925362,0.005064,0.007352,0.090829,0.208294,1
4729,2565791,243,40,558.000007,0.932982,0.035363,0.008793,0.192395,0.731597,1
150,95087,1,150,658.579900,0.785547,0.186677,0.024015,0.117383,0.555386,0
11326,779766,9,3804,60.000000,0.901996,0.008948,0.004731,0.589303,0.457830,1
819,401347,3,462,450.270939,0.853858,0.053414,0.016947,0.059885,0.357995,0
164,100356,8,29,731.010658,0.944924,0.055076,0.000000,0.090270,0.418114,0
5468,532351,101,180,88.899396,0.958336,0.013038,0.003861,0.790497,0.768949,1
40,29094,8,8,631.025917,0.856883,0.125963,0.006501,0.013157,0.575476,0
11525,1646527,519,72,113.756516,0.917133,0.031157,0.010877,0.901327,0.708053,1
21454,11853568,610,53,604.022894,0.081921,0.916777,0.001276,0.077384,0.975594,1
107,83444,5,58,695.950984,0.977215,0.022785,0.000000,0.108057,0.456326,0
134,122349,17,9,792.766180,0.794336,0.168257,0.031309,0.037444,0.364224,0
5270,5150181,442,37,907.543513,0.916015,0.042865,0.017854,0.115814,0.884811,1
14254,14364207,6,6065,782.273967,0.911258,0.000833,0.002238,0.022859,0.459449,1
95,65985,7,35,648.715578,0.807229,0.141770,0.017217,0.024182,0.341775,0
15713,1924444,9,10453,118.747991,0.942719,0.032164,0.005290,0.962367,0.201712,1
11027,5360292,499,47,447.103582,0.067563,0.709193,0.024642,0.027134,0.787715,1
8307,10239901,5,6489,948.562115,0.908074,0.041906,0.016610,0.150513,0.553573,1
12785,4236902,263,84,266.430752,0.127929,0.725839,0.005429,0.016188,0.833243,1
542,307880,7,240,620.982739,0.910097,0.036371,0.035277,0.059346,0.152626,0
256,145336,11,38,498.824261,0.838479,0.101810,0.011860,0.072911,0.435406,0
211,121080,9,29,481.818284,0.937026,0.062974,0.000000,0.110075,0.203508,0
521,313001,8,104,544.731246,0.976405,0.023595,0.000000,0.023880,0.361687,0
9953,6507873,68,292,589.545729,0.975725,0.017156,0.006032,0.165495,0.910052,1
187,101263,1,187,544.217528,0.790670,0.130555,0.000236,0.040088,0.530597,0
6397,3943660,7,5296,585.141025,0.187881,0.726927,0.032986,0.000849,0.447692,1
18538,24454616,461,102,1046.294340,0.947829,0.045143,0.000655,0.138691,0.944951,1
4864,424946,866,22,77.724323,0.988873,0.011127,0.000000,0.658756,0.776730,1
179,161916,10,32,857.530588,0.920483,0.079517,0.000000,0.011064,0.187622,0
7807,4402238,136,184,480.429644,0.192950,0.736394,0.045366,0.029571,0.899734,1
151,51842,6,59,385.172672,0.760129,0.173956,0.012228,0.061894,0.341490,0
16390,1546876,560,86,88.643653,0.900443,0.055749,0.024300,0.697980,0.881962,1
5209,6048423,187,80,978.320629,0.921533,0.010473,0.013833,0.127329,0.753733,1
17112,5482917,348,176,347.023370,0.104652,0.895348,0.000000,0.063540,0.721822,1
226,155890,7,47,634.276414,0.776223,0.030190,0.009932,0.031972,0.281497,0
6554,4053318,117,123,607.709528,0.982891,0.017109,0.000000,0.173798,0.735408,1
129,66005,12,29,592.861315,0.940069,0.059931,0.000000,0.101952,0.309897,0
114,42190,8,47,426.639696,0.785465,0.135159,0.036032,0.076565,0.571265,0
245,195179,13,47,670.873264,0.874705,0.125295,0.000000,0.074260,0.395425,0
27403,1989227,1,12466,68.778750,0.886027,0.078073,0.008319,0.576827,0.525120,1
11477,2058629,251,69,138.981587,0.920347,0.039372,0.020590,0.625164,0.759011,1
4932,1881180,374,40,315.401252,0.043057,0.755703,0.004798,0.077730,0.759689,1
222,76468,11,29,342.639666,0.865883,0.134117,0.000000,0.096155,0.581490,0
183,105367,9,61,713.926628,0.829305,0.149259,0.013468,0.094865,0.517593,0
121,93706,16,23,662.536368,0.771267,0.147671,0.009524,0.039531,0.474836,0
6011,5564842,922,20,736.071418,0.906843,0.055884,0.009531,0.083637,0.905920,1
21143,10121439,259,243,416.128645,0.089996,0.674565,0.008224,0.024864,0.875363,1
9397,1288361,197,187,119.198712,0.862291,0.038221,0.028818,0.813353,0.954726,1
3774,1719328,2077,20,423.506646,0.077277,0.716935,0.008854,0.076376,0.819716,1
229,128220,7,113,588.282317,0.897200,0.102800,0.000000,0.102714,0.538000,0
20863,1383229,528,65,60.000000,0.937919,0.047604,0.010050,0.601421,0.789511,1
17384,1425761,102,367,84.525452,0.914799,0.035874,0.009164,0.787219,0.948174,1
346,176120,1,346,631.336206,0.773206,0.016379,0.029889,0.087361,0.174338,0
106,63566,1,106,587.987703,0.776268,0.157271,0.041164,0.050355,0.561305,0
101,48474,13,23,597.121909,0.957278,0.042722,0.000000,0.058590,0.316783,0
141,67416,14,29,595.361629,0.790410,0.082239,0.035184,0.065029,0.558677,0
116,76850,8,25,575.782308,0.872989,0.019232,0.049734,0.082817,0.476784,0
14443,1267912,242,207,94.004248,0.950987,0.048670,0.000150,0.975794,0.869240,1
5456,1848940,135,133,294.785670,0.199690,0.660500,0.019430,0.039193,0.703664,1
10159,10807401,426,59,996.589476,0.959177,0.036370,0.001433,0.178650,0.796000,1
206,94745,5,96,563.801989,0.797770,0.187294,0.004938,0.010301,0.485817,0
505,337941,4,301,726.860090,0.867190,0.132810,0.000000,0.016003,0.598956,0
155,108396,18,13,676.412226,0.787806,0.098550,0.020326,0.068952,0.616317,0
29358,29519959,632,107,828.133204,0.903899,0.044425,0.018497,0.051660,0.755650,1
22168,2146581,132,499,83.230915,0.989821,0.010179,0.000000,0.738365,0.728482,1
510,235328,8,200,567.192544,0.967393,0.032607,0.000000,0.055363,0.571272,0
11399,1066907,3,7746,79.278961,0.907784,0.070001,0.016626,0.678533,0.280356,1
196,68736,14,19,352.289974,0.757098,0.154601,0.014604,0.040234,0.410804,0
8476,655005,247,133,77.718972,0.930625,0.022857,0.002996,0.666078,0.741873,1
339,209451,1,339,644.480896,0.756814,0.061932,0.049629,0.063966,0.327906,0
171,102765,6,80,565.777369,0.750250,0.100593,0.006635,0.034881,0.489991,0
188,66324,13,40,378.399050,0.812311,0.057767,0.006033,0.031184,0.203777,0
562,357314,3,388,759.242957,0.877121,0.020662,0.000473,0.028852,0.399929,0
9380,5218849,454,63,436.713643,0.035129,0.964871,0.000000,0.045380,0.968471,1
117,48207,2,117,502.707524,0.864247,0.135753,0.000000,0.097875,0.453532,0
6638,6734906,166,150,1079.771228,0.945057,0.043713,0.002716,0.122642,0.850395,1
6109,834756,166,84,125.605557,0.909146,0.051476,0.012635,0.558773,0.727363,1
9544,1017040,461,34,85.381818,0.879635,0.065385,0.015694,0.954239,0.905929,1
103,62236,2,103,560.870955,0.794221,0.056839,0.027904,0.034735,0.636455,0
4815,6176961,380,49,1107.761004,0.902232,0.037807,0.015432,0.075593,0.846091,1
151,103276,8,57,719.441744,0.937033,0.062967,0.000000,0.091265,0.492707,0
16397,16433985,328,132,915.754086,0.930229,0.034722,0.013115,0.161628,0.858830,1
224,138460,4,131,614.507699,0.820964,0.014403,0.047262,0.065599,0.633343,0
10168,3973005,236,79,373.906953,0.071152,0.928848,0.000000,0.055837,0.778797,1
10271,3541691,561,54,346.476875,0.036607,0.963393,0.000000,0.070765,0.809186,1
6705,441916,618,20,61.434246,0.968978,0.031022,0.000000,0.815627,0.895621,1
11813,6479043,8,9588,474.793269,0.131934,0.868066,0.000000,0.021435,0.562734,1
102,53275,14,15,634.295503,0.976621,0.023379,0.000000,0.060051,0.353504,0
50000,6026795,1194,105,99.168775,0.970683,0.029317,0.000000,0.714549,0.798867,1
411,262717,5,168,567.536462,0.904975,0.095025,0.000000,0.097643,0.512662,0
172,78754,8,34,409.913867,0.768163,0.175460,0.030986,0.036491,0.606415,0
3822,420294,114,106,106.197600,0.889657,0.024483,0.002137,0.813703,0.729660,1
331,122341,21,25,445.488834,0.836355,0.149077,0.007969,0.108794,0.174552,0
8305,3123374,230,115,322.972741,0.064060,0.699579,0.030101,0.065356,0.834126,1
13479,1436104,2,11818,106.750441,0.959603,0.014237,0.014138,0.622321,0.422061,1
313,278083,14,49,773.212575,0.909620,0.090380,0.000000,0.097576,0.288684,0
13320,816485,11,6077,60.000000,0.891247,0.016751,0.020852,0.806984,0.451720,1
72,15765,15,8,244.732508,0.822452,0.162155,0.010786,0.090889,0.299029,0
17924,10287562,392,80,470.086687,0.056272,0.943728,0.000000,0.004960,0.715621,1
19436,1608495,4,10075,74.834050,0.945853,0.054147,0.000000,0.950865,0.220625,1
81,48002,10,13,566.756419,0.886207,0.083879,0.021082,0.032636,0.526163,0
8729,3494344,8,4901,398.209205,0.120966,0.742730,0.021504,0.072223,0.265994,1
150,84001,15,29,612.724700,0.853253,0.111462,0.010919,0.098949,0.374508,0
24921,2060573,465,191,84.834710,0.911250,0.029471,0.020911,0.631604,0.956053,1
684,306198,16,144,489.090983,0.937120,0.062880,0.000000,0.044597,0.299637,0
66,26908,17,13,476.302226,0.916558,0.083442,0.000000,0.015907,0.354544,0
211,88674,11,25,427.650148,0.856347,0.143653,0.000000,0.053554,0.556227,0
250,160747,7,65,548.116391,0.900555,0.057574,0.015569,0.109418,0.232763,0
11156,8931285,262,85,867.437259,0.933195,0.000485,0.011729,0.142094,0.954380,1
224,133453,15,43,733.474069,0.799481,0.089768,0.017045,0.050706,0.500798,0
177,76402,9,40,379.536823,0.898889,0.101111,0.000000,0.021891,0.181919,0
6525,8990765,673,20,1269.109182,0.978678,0.021322,0.000000,0.086676,0.819253,1
334,206358,10,71,669.585140,0.865580,0.134420,0.000000,0.044208,0.208708,0
231,147488,13,48,583.302621,0.955201,0.026518,0.007713,0.013278,0.253319,0
6050,728762,784,25,100.807604,0.977442,0.022558,0.000000,0.797737,0.899261,1
367,163086,7,81,520.698362,0.921979,0.078021,0.000000,0.070416,0.385414,0
2750,3789510,50,201,1449.668553,0.935086,0.013761,0.014752,0.099769,0.830814,1
4002,1476228,5,2342,408.813565,0.148420,0.733527,0.042771,0.043480,0.364061,1
136,109380,2,136,759.076183,0.776003,0.142272,0.002932,0.113671,0.229698,0
10740,18976133,196,147,1464.929239,0.909552,0.047214,0.006027,0.035571,0.849371,1
2639,2368870,147,55,761.833869,0.980991,0.019009,0.000000,0.181280,0.958355,1
462,350523,17,67,696.240240,0.860261,0.139739,0.000000,0.115272,0.143667,0
18444,3112994,7,14232,139.115383,0.869330,0.086383,0.003573,0.648802,0.520341,1
230,151378,15,53,714.207592,0.777244,0.155244,0.030316,0.096981,0.252844,0
9878,588390,331,93,60.000000,0.951446,0.048554,0.000000,0.923083,0.948959,1
259,160452,12,58,666.125090,0.870860,0.069613,0.008659,0.110334,0.317164,0
15909,6090645,171,169,317.526082,0.059274,0.940726,0.000000,0.014630,0.847206,1
16327,2347825,66,658,143.765358,0.898112,0.039934,0.005832,0.566243,0.829180,1
5591,1174087,1418,20,173.033826,0.056461,0.691364,0.003930,0.055265,0.730189,1
6575,7974015,467,49,1114.303655,0.906575,0.033420,0.001042,0.187592,0.898678,1
223,130699,2,223,495.943151,0.753839,0.022831,0.013109,0.014381,0.180234,0
174,65536,8,60,437.322304,0.894972,0.067212,0.025022,0.082873,0.284989,0
231,56246,6,108,247.286224,0.850845,0.065353,0.034642,0.100086,0.547828,0
6708,12632733,1423,20,1682.128691,0.936378,0.007653,0.005884,0.086460,0.941149,1
9572,14371366,157,181,1207.742008,0.976630,0.016671,0.000888,0.070575,0.742318,1
237,129194,9,57,595.917971,0.883396,0.116604,0.000000,0.058638,0.256851,0
12999,7890536,102,315,518.719550,0.120431,0.828587,0.022630,0.049289,0.843058,1
161,94520,2,161,672.870092,0.832478,0.015475,0.034223,0.102239,0.636722,0
345,342824,5,127,1009.161690,0.837831,0.110217,0.048313,0.099858,0.550630,0
272,127177,13,56,545.387213,0.800840,0.067095,0.003048,0.114337,0.583857,0
482,371539,15,47,701.282572,0.938439,0.061561,0.000000,0.012825,0.295979,0
100,70766,13,11,658.047573,0.917631,0.082369,0.000000,0.053076,0.641142,0
314,246775,8,81,810.613590,0.830203,0.057880,0.023335,0.084492,0.562155,0
333,286868,7,88,763.562639,0.818668,0.121518,0.049945,0.063860,0.224298,0
9570,739638,216,137,60.458493,0.878614,0.003791,0.027702,0.807172,0.912938,1
3051,2727077,372,23,780.491110,0.934874,0.031444,0.009951,0.119264,0.718670,1
75,67298,3,75,827.224960,0.896671,0.103329,0.000000,0.023350,0.250490,0
97,56079,7,21,608.132156,0.941209,0.058791,0.000000,0.028209,0.368837,0
